Time,Patch,mWW,mWH,mWR,mWB,mHH,mHR,mHB,mRR,mRB,mBB,fWW,fWH,fWR,fWB,fHH,fHR,fHB,fRR,fRB,fBB
110,1,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,5523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2,5351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2,5142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2,4878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2,4777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2,4751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2,4652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2,4605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2,4465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2,4435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2,4327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,4265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2,4148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2,4039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2,4013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2,3911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2,3757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2,3748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2,3642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2,3553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2,3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2,3409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2,3405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2,3225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,1,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2,2953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2,2910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,1,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2,2854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2,2844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2,2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,1,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2,2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
