"Time","mWW","mWH","mWR","mWB","mHH","mHR","mHB","mRR","mRB","mBB","fWW","fWH","fWR","fWB","fHH","fHR","fHB","fRR","fRB","fBB"
113,8017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,7907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,7705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,7773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,7585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,7359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,7273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,7172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,7125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,7011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,6708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,6576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,6417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,6340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,6247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,6065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,5715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,5645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,5565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,5336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,5128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,5068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,4952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,4933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,4582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,4427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,4377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,4150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,4010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,3962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,3886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,3559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,3511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,3459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,3220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,3128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,3429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,3538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,3875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,4315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,4594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,4988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,5352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,5655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,6462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,6725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,7341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
